,BTCUSD_prices,ETHUSD_prices
2016-06-30 00:00:00,635.43,12.92
2016-06-30 01:00:00,637.21,12.74
2016-06-30 02:00:00,637.68,12.5
2016-06-30 03:00:00,637.45,12.66
2016-06-30 04:00:00,637.73,12.54
2016-06-30 05:00:00,634.83,12.56
2016-06-30 06:00:00,635.19,12.67
2016-06-30 07:00:00,633.01,12.53
2016-06-30 08:00:00,634.91,12.52
2016-06-30 09:00:00,638.1,12.58
2016-06-30 10:00:00,636.08,12.48
2016-06-30 11:00:00,633.25,12.37
2016-06-30 12:00:00,649.36,12.18
2016-06-30 13:00:00,650.67,12.35
2016-06-30 14:00:00,648.2,12.3
2016-06-30 15:00:00,663.14,12.3
2016-06-30 16:00:00,664.05,12.3
2016-06-30 17:00:00,664.75,12.38
2016-06-30 18:00:00,666.05,12.4
2016-06-30 19:00:00,669.57,12.47
2016-06-30 20:00:00,670.44,12.42
2016-06-30 21:00:00,664.51,12.33
2016-06-30 22:00:00,663.76,12.29
2016-06-30 23:00:00,664.29,12.35
2016-07-01 00:00:00,668.34,12.57
2016-07-01 01:00:00,669.78,12.4
2016-07-01 02:00:00,666.96,12.36
2016-07-01 03:00:00,672.05,12.45
2016-07-01 04:00:00,676.44,12.4
2016-07-01 05:00:00,676.24,12.4
2016-07-01 06:00:00,681.17,12.31
2016-07-01 07:00:00,679.26,12.25
2016-07-01 08:00:00,678.62,12.21
2016-07-01 09:00:00,670.81,12.16
2016-07-01 10:00:00,672.14,12.13
2016-07-01 11:00:00,669.29,12.02
2016-07-01 12:00:00,674.28,12.04
2016-07-01 13:00:00,675.04,11.98
2016-07-01 14:00:00,672.68,11.67
2016-07-01 15:00:00,672.55,11.89
2016-07-01 16:00:00,668.07,11.93
2016-07-01 17:00:00,667.53,11.8
2016-07-01 18:00:00,670.28,11.84
2016-07-01 19:00:00,679.87,11.93
2016-07-01 20:00:00,673.61,12.12
2016-07-01 21:00:00,673.12,12.03
2016-07-01 22:00:00,674.93,12.09
2016-07-01 23:00:00,675.84,12.15
2016-07-02 00:00:00,676.71,12.26
2016-07-02 01:00:00,671.24,12.24
2016-07-02 02:00:00,671.46,12.02
2016-07-02 03:00:00,679.54,12.0
2016-07-02 04:00:00,678.23,12.05
2016-07-02 05:00:00,673.69,12.03
2016-07-02 06:00:00,677.14,12.1
2016-07-02 07:00:00,677.83,12.05
2016-07-02 08:00:00,674.02,11.97
2016-07-02 09:00:00,676.2,12.03
2016-07-02 10:00:00,670.94,11.9
2016-07-02 11:00:00,684.06,11.97
2016-07-02 12:00:00,690.72,11.98
2016-07-02 13:00:00,690.07,11.96
2016-07-02 14:00:00,694.15,12.07
2016-07-02 15:00:00,689.39,11.93
2016-07-02 16:00:00,688.18,11.98
2016-07-02 17:00:00,685.72,11.99
2016-07-02 18:00:00,689.63,12.02
2016-07-02 19:00:00,689.93,12.24
2016-07-02 20:00:00,690.07,11.98
